ISO3,Country,HDI_Category,HDI,Publications
AFG,Afghanistan,Low,0.462,3
ALB,Albania,High,0.789,4
DZA,Algeria,High,0.745,7
AND,Andorra,Very High,0.884,2
AGO,Angola,Medium,0.591,0
ATG,Antigua and Barbuda,Very High,0.826,1
ARG,Argentina,Very High,0.849,14
ARM,Armenia,High,0.786,1
AUS,Australia,Very High,0.946,133
AUT,Austria,Very High,0.926,16
AZE,Azerbaijan,High,0.76,4
BHS,Bahamas,Very High,0.82,0
BHR,Bahrain,Very High,0.888,5
BGD,Bangladesh,Medium,0.67,25
BRB,Barbados,Very High,0.809,0
BLR,Belarus,Very High,0.801,1
BEL,Belgium,Very High,0.942,10
BLZ,Belize,High,0.7,0
BEN,Benin,Low,0.504,0
BTN,Bhutan,Medium,0.681,0
BOL,Bolivia (Plurinational State of),Medium,0.698,0
BIH,Bosnia and Herzegovina,High,0.779,4
BWA,Botswana,High,0.708,4
BRA,Brazil,High,0.76,52
BRN,Brunei Darussalam,Very High,0.823,2
BGR,Bulgaria,High,0.799,9
BFA,Burkina Faso,Low,0.438,0
BDI,Burundi,Low,0.42,0
CPV,Cabo Verde,Medium,0.661,0
KHM,Cambodia,Medium,0.6,4
CMR,Cameroon,Medium,0.587,0
CAN,Canada,Very High,0.935,117
CAF,Central African Republic,Low,0.387,0
TCD,Chad,Low,0.394,0
CHL,Chile,Very High,0.86,17
CHN,China,High,0.788,266
COL,Colombia,High,0.758,20
COM,Comoros,Medium,0.586,0
COG,Congo,Medium,0.593,0
COD,Congo (Democratic Republic of the),Low,0.481,0
CRI,Costa Rica,Very High,0.806,3
CIV,Côte d'Ivoire,Low,0.534,0
HRV,Croatia,Very High,0.878,9
CUB,Cuba,High,0.764,1
CYP,Cyprus,Very High,0.907,13
CZE,Czechia,Very High,0.895,21
DNK,Denmark,Very High,0.952,11
DJI,Djibouti,Low,0.515,0
DMA,Dominica,High,0.74,0
DOM,Dominican Republic,High,0.766,5
ECU,Ecuador,High,0.765,34
EGY,Egypt,High,0.728,21
SLV,El Salvador,Medium,0.674,1
GNQ,Equatorial Guinea,Medium,0.65,0
ERI,Eritrea,Low,0.493,0
EST,Estonia,Very High,0.899,5
SWZ,Eswatini (Kingdom of),Medium,0.61,0
ETH,Ethiopia,Low,0.492,5
FJI,Fiji,High,0.729,1
FIN,Finland,Very High,0.942,23
FRA,France,Very High,0.91,50
GAB,Gabon,Medium,0.693,1
GMB,Gambia,Low,0.495,0
GEO,Georgia,Very High,0.814,3
DEU,Germany,Very High,0.95,83
GHA,Ghana,Medium,0.602,12
GRC,Greece,Very High,0.893,46
GRD,Grenada,High,0.793,0
GTM,Guatemala,Medium,0.629,0
GIN,Guinea,Low,0.471,0
GNB,Guinea-Bissau,Low,0.483,0
GUY,Guyana,High,0.742,1
HTI,Haiti,Medium,0.552,0
HND,Honduras,Medium,0.624,2
